cod_ibge,ano_referencia,populacao_estimada,pib_per_capita
2201572,2017,3503,7629.75
2201606,2017,10037,6894.69
2201705,2017,5413,9850.54
2201739,2017,6106,7125.29
2201770,2017,6663,6860.57
2201804,2017,4428,10931.12
2201903,2017,24711,35360.28
2201919,2017,5535,8872.45
2201929,2017,5577,6575.40
2201945,2017,6300,6380.63
2201960,2017,8192,6547.73
2201988,2017,3823,8314.94
2202000,2017,19464,8075.06
2202026,2017,8108,6329.30
2202059,2017,10406,5677.78
2202075,2017,3497,7267.37
2202083,2017,7510,10858.99
2202091,2017,5684,8006.33
2202109,2017,5522,7675.12
2202117,2017,4957,6844.46
2202133,2017,5842,8522.25
2202174,2017,7154,5830.58
2202208,2017,46082,11813.79
2202251,2017,3892,8056.27
2202307,2017,20831,9961.98
2202406,2017,11229,7354.26
2202455,2017,4033,7476.57
2202505,2017,10729,6448.41
2202539,2017,5769,7788.70
2202554,2017,4982,6595.54
2202604,2017,19410,8211.28
2202653,2017,5330,8197.37
2202703,2017,27338,7733.59
2202711,2017,4812,7795.10
2202729,2017,6054,7342.58
2202737,2017,3953,7528.46
2202752,2017,6372,8209.20
2202778,2017,7536,6838.64
2202802,2017,4726,9001.48
2202851,2017,4608,6990.67
2202901,2017,26205,14541.65
2203008,2017,8154,6590.63
2203107,2017,10253,9660.10
2203206,2017,11190,7938.78
2203230,2017,4871,32119.48
2203255,2017,4367,5986.49
2203271,2017,5251,57576.27
2203305,2017,13595,9803.82
2203354,2017,6896,6414.01
2203404,2017,6790,9857.00
2203420,2017,4287,7443.43
2203453,2017,9404,6031.26
2203503,2017,14383,8603.63
2203602,2017,4834,8449.94
2203701,2017,39078,8660.14
2203750,2017,5220,5340.04
2203800,2017,4393,8201.23
2203859,2017,2518,7942.81
2203909,2017,58969,17287.73
2204006,2017,5264,6868.92
2204105,2017,4288,8494.87
2204154,2017,3128,7447.57
2204204,2017,9154,6805.99
2204303,2017,11432,12785.95
2204352,2017,5352,7980.38
2204402,2017,10522,17665.94
2204501,2017,10335,51730.24
2204550,2017,4489,6833.15
2204600,2017,3816,7009.70
2204659,2017,9268,7363.94
2204709,2017,15065,8120.41
2204808,2017,9649,7089.96
2204907,2017,8428,6379.09
2205003,2017,11343,7035.70
2205102,2017,10845,10054.68
2205151,2017,5656,7618.64
2205201,2017,18782,8524.81
2205250,2017,4430,6648.53
2205276,2017,4786,8365.65
2205300,2017,4384,9894.62
2205359,2017,2961,8764.61
2205409,2017,14123,6412.59
2205458,2017,5350,6448.79
2205508,2017,38550,8292.92
2205516,2017,5391,7738.27
2205524,2017,5534,7309.36
2205532,2017,4683,7532.35
2205540,2017,2796,7228.90
2205557,2017,8395,6995.95
2205565,2017,4582,8142.51
2205573,2017,6646,5999.25
2205581,2017,3996,10948.70
2205599,2017,5087,8990.96
2205607,2017,5217,11845.31
2205706,2017,29792,9630.54
2205805,2017,25082,7644.57
2205854,2017,8170,5954.10
2205904,2017,5266,8053.74
2205953,2017,8342,7432.87
2206001,2017,4478,8873.38
2206050,2017,6338,6145.47
2206100,2017,10759,6700.99
2206209,2017,33209,6868.32
2206308,2017,1228,11991.04
2206357,2017,6511,6633.39
2206407,2017,10409,8746.28
2206506,2017,7621,7136.99
2206605,2017,10448,14847.53
2206654,2017,4066,7531.97
2206670,2017,6684,6657.99
2206696,2017,8997,7195.51
2206704,2017,7231,6714.56
2206720,2017,8425,9362.14
2206753,2017,4786,6973.05
2206803,2017,8547,6998.83
2206902,2017,6466,6497.37
2206951,2017,2940,7521.43
2207009,2017,36432,11010.40
2207108,2017,2417,8297.06
2207207,2017,6758,8014.50
2207306,2017,4065,8643.30
2207355,2017,3333,8193.22
2207405,2017,4967,14312.26
2207504,2017,14295,6810.28
2207553,2017,3886,8578.49
2207603,2017,10613,7629.42
2207702,2017,150547,13536.48
2207751,2017,4500,7853.78
2207777,2017,6288,7230.76
2207793,2017,3975,6122.52
2207801,2017,20192,9520.95
2207850,2017,3623,7676.51
2207900,2017,38127,7596.93
2207934,2017,2495,8416.43
2207959,2017,4302,7669.22
2208007,2017,76928,18534.56
2208106,2017,11935,6702.22
2208205,2017,18125,7409.05
2208304,2017,28312,9196.35
2208403,2017,62733,10476.78
2208502,2017,12358,6544.51
2208551,2017,2664,8520.27
2208601,2017,3103,7104.09
2208650,2017,8842,7724.84
2208700,2017,8634,7807.85
2208809,2017,17698,8909.88
2208858,2017,4246,8277.67
2208874,2017,4403,25287.99
2208908,2017,7214,48077.21
2209005,2017,6331,7058.92
2209104,2017,6140,7973.94
2209153,2017,3952,8248.48
2209203,2017,6156,34628.17
2209302,2017,5761,7963.20
2209351,2017,4559,7178.33
2209377,2017,5175,6922.32
2209401,2017,6305,9226.49
2209450,2017,2125,6114.35
2209500,2017,3731,7340.12
2209559,2017,4377,6375.14
2209609,2017,2901,8348.16
2209658,2017,5657,6904.54
2209708,2017,6324,7600.57
2209757,2017,2988,9616.47
2209807,2017,4931,7168.12
2209856,2017,4534,7159.90
2209872,2017,5938,7493.94
2209906,2017,6050,7777.52
2209955,2017,4762,6263.96
2209971,2017,7847,5910.79
2210003,2017,20258,10653.27
2210052,2017,5260,8627.38
2210102,2017,3689,8794.25
2210201,2017,6602,7873.52
2210300,2017,6261,7026.19
2210359,2017,4501,6644.08
2210375,2017,2602,6624.52
2210383,2017,2413,8409.03
2210391,2017,2991,7862.25
2210409,2017,17395,6971.31
2210508,2017,14056,7302.79
2210607,2017,34109,11956.32
2210623,2017,3421,10254.31
2210631,2017,4224,29192.47
2210656,2017,9880,6253.04
2210706,2017,14398,32241.77
2210805,2017,12488,10606.50
2210904,2017,4500,7438.22
2210938,2017,6612,7296.28
2210953,2017,2870,7636.24
2210979,2017,2719,9965.80
2211001,2017,850198,22486.10
2211100,2017,43761,7742.51
2211209,2017,21188,59542.48
2211308,2017,20588,10863.56
2211357,2017,4873,7128.05
2211407,2017,4325,7148.90
2211506,2017,3029,7950.48
2211605,2017,2931,9830.09
2211704,2017,4390,7152.62
